,date,stock,1_return,3_return,6_return,12_return,1_return_over_zero,amc,amc_over_mean
5333,194404,ME2 BM4,4.030800000000001,4.125495915952659,15.433435466109557,28.713841765388892,1,6.48,0
5334,194404,ME2 BM5,14.154099999999993,27.668033339761244,18.852234569771674,46.88506097846985,1,6.8,0
5335,194404,ME3 BM1,2.876400000000001,9.902545657625339,9.372793434531346,17.426485840844407,1,12.76,0
5336,194404,ME3 BM2,3.745899999999991,8.393246992637614,9.485936455488764,11.770747869476184,1,12.14,0
5337,194404,ME3 BM3,4.253700000000005,7.44272834654045,6.457318203259965,17.322184541212593,1,12.38,0
5338,194404,ME3 BM4,4.542700000000011,9.106416414048102,10.429314805573098,22.088845302666925,1,12.77,0
5339,194404,ME3 BM5,4.33380000000001,16.011913126820843,15.099825420768486,32.919529689572656,1,12.96,0
5340,194404,ME4 BM1,1.0504000000000069,4.187381049231997,1.862525348023647,5.541236728491605,1,27.61,0
5341,194404,ME4 BM2,2.860499999999999,5.8725337262026445,6.399907456124221,16.835447416851213,1,29.07,0
5342,194404,ME4 BM3,2.932800000000002,6.553483220270118,5.211276433856171,10.73844350090547,1,24.35,0
5343,194404,ME4 BM4,5.054200000000009,6.800618196943109,8.22787950094861,18.555190420906875,1,27.37,0
5344,194404,ME4 BM5,2.812799999999993,14.748041029456104,13.201089366363483,24.29203079265987,1,26.05,0
5345,194404,BIG LoBM,2.677200000000002,3.4584120194737,1.89897630316207,6.831112177104792,1,225.68,1
5346,194404,ME5 BM2,1.691700000000007,2.463803806015097,2.6303044091454675,11.581924190368674,1,246.7,1
5347,194404,ME5 BM3,1.7438000000000065,4.546865548514134,2.8874819685560604,13.97982640959594,1,156.01,1
5348,194404,ME5 BM4,3.00720000000001,6.688062435172237,4.961231927003795,10.160629913276065,1,173.89,1
5349,194404,BIG HiBM,5.073900000000009,20.064760466898868,11.974672505455896,23.165272774637646,1,105.76,1
5350,194405,SMALL LoBM,-5.449099999999996,6.660996381552686,7.98259695719401,-4.593409617765998,0,1.64,0
5351,194405,ME1 BM2,1.3368000000000047,15.47504138184992,23.846021754028012,28.985881177100616,1,2.73,0
5352,194405,ME1 BM3,-2.9085000000000027,4.525236097245999,12.901273970603256,19.75449301442509,0,2.64,0
5353,194405,ME1 BM4,-1.994499999999999,6.0215132678167915,11.531458304017494,24.553284420876874,0,2.91,0
5354,194405,SMALL HiBM,-4.1275999999999975,7.53053586046013,12.431797612897544,20.681888249081126,0,2.13,0
5355,194405,ME2 BM1,-1.5314999999999968,2.453267515376001,5.751851144809361,20.332003378450914,0,7.28,0
5356,194405,ME2 BM2,-1.7928999999999973,0.8420958108222854,4.607637111599061,15.154957762384559,0,6.07,0
5357,194405,ME2 BM3,-2.777200000000002,2.200854220064241,12.91860033240495,21.449508621062495,0,6.56,0
5358,194405,ME2 BM4,-3.916900000000001,-4.763305819920893,6.539738888108415,15.526801130006906,0,6.21,0
5359,194405,ME2 BM5,-5.621399999999999,11.90765003311025,15.354988081709786,27.9523590807258,0,6.41,0
5360,194405,ME3 BM1,-3.014899999999998,2.57196535733879,6.960841895325065,13.58462753312828,0,12.36,0
5361,194405,ME3 BM2,-3.103800000000001,1.4584129248295552,6.697702726269372,8.981104584185772,0,11.73,0
5362,194405,ME3 BM3,-3.4738000000000047,0.5617931070563964,3.016745747884819,10.180006377125395,0,11.91,0
5363,194405,ME3 BM4,-2.296799999999999,3.0168143220297816,6.848106668012166,14.917056150637942,0,12.44,0
5364,194405,ME3 BM5,-1.3573999999999975,7.96794414099713,15.463037466333018,21.013887742072377,0,12.76,0
5365,194405,ME4 BM1,-2.6615999999999973,-0.6333194704468692,1.2556472341813896,1.85578400613724,0,26.84,0
5366,194405,ME4 BM2,-2.066100000000004,2.122222809016394,5.730977558557759,14.936194516817958,0,28.4,0
