,date,mean_1_return,mean_amc
226,194505,7.944255999999999,59.314899999999994
227,194506,1.716771,59.826800000000006
228,194507,2.9125869999999994,61.9719
229,194508,-3.6463179999999995,60.52459999999999
230,194509,6.440037,63.417300000000004
231,194510,6.443321999999999,66.1729
232,194511,6.651216000000001,69.10050000000001
233,194512,9.584168,72.86449999999999
234,194601,2.4326260000000004,73.251
235,194602,9.886023,77.7267
236,194603,-6.711003000000001,72.9706
237,194604,5.784843,77.0294
238,194605,5.586940000000001,80.37939999999999
239,194606,5.9046910000000015,83.53209999999999
240,194607,-5.008567000000001,80.25870000000002
241,194608,-4.269905,77.90690000000001
242,194609,-7.579002999999999,72.5804
243,194610,-13.306567,65.00619999999999
244,194611,-1.324686,63.93060000000001
245,194612,-0.3301029999999996,63.36949999999999
246,194701,4.7818000000000005,66.0009
247,194702,2.716025,66.97370000000002
248,194703,-0.5423689999999993,66.07520000000001
249,194704,-2.715488000000001,64.7606
250,194705,-7.921415999999999,61.55609999999998
251,194706,-3.649257,60.398900000000005
252,194707,5.623557000000001,59.79730000000001
253,194708,6.324794000000002,62.3886
254,194709,-1.924135,60.8855
255,194710,0.6160930000000003,60.3305
256,194711,3.3321920000000005,61.87219999999999
257,194712,-3.106246,60.004799999999996
258,194801,1.9499879999999994,61.6174
259,194802,-1.7569480000000006,59.38129999999999
260,194803,-6.161203000000001,56.3775
261,194804,9.586547,60.873400000000004
262,194805,3.6064430000000005,63.1147
263,194806,8.917769,67.3588
264,194807,-1.1877150000000007,63.29650000000001
265,194808,-6.162711999999999,60.05650000000001
266,194809,-1.4037779999999997,59.7417
267,194810,-4.932537,57.569300000000005
268,194811,4.026536,60.87559999999999
269,194812,-11.892808,53.936699999999995
270,194901,0.06113500000000003,55.14009999999999
271,194902,0.8424420000000009,55.17400000000001
272,194903,-5.144336000000001,52.9801
273,194904,4.762332000000001,54.93779999999999
274,194905,-3.575683,53.93240000000001
275,194906,-5.2281640000000005,51.647200000000005
276,194907,-1.8706330000000007,51.811899999999994
277,194908,6.5793610000000005,54.760999999999996
278,194909,2.293426,55.8401
279,194910,4.2651959999999995,57.4331
280,194911,4.200205,59.128900000000016
281,194912,0.44110999999999956,59.119699999999995
282,195001,6.911152,61.6206
283,195002,4.720756,62.87049999999999
284,195003,2.0721979999999993,63.34149999999999
285,195004,-0.369768,63.68920000000002
286,195005,5.659603000000003,66.1528
287,195006,2.5827839999999997,68.5094
288,195007,-7.803874000000002,66.54919999999998
289,195008,5.580368,69.5916
290,195009,4.5821879999999995,71.7727
291,195010,5.290070999999999,74.84730000000002
292,195011,-0.5506409999999999,74.78690000000002
293,195012,3.163080999999999,75.8189
294,195101,8.958385000000002,80.75309999999999
295,195102,7.527739,85.7615
296,195103,1.0569629999999994,85.79690000000001
297,195104,-3.6899380000000006,83.1304
298,195105,4.29742,87.43870000000001
299,195106,-2.793713000000001,84.4613
300,195107,-4.915262,80.0012
301,195108,6.366432999999998,85.9433
302,195109,5.170698000000001,89.066
303,195110,2.1847910000000015,89.50390000000002
304,195111,-2.299029,87.58800000000001
305,195112,0.7926340000000003,87.28450000000002
306,195201,1.3737730000000006,89.52590000000001
307,195202,1.8255379999999999,91.51450000000001
308,195203,-2.324723,88.27090000000003
309,195204,3.3326,92.35669999999999
310,195205,-4.731128,87.43140000000001
311,195206,2.288035,89.59980000000003
312,195207,3.304829,100.25210000000001
313,195208,1.0999650000000003,101.32779999999998
314,195209,-0.21861899999999979,99.69259999999998
315,195210,-1.4416510000000005,97.06630000000001
316,195211,-1.116551,96.5742
317,195212,5.625969000000001,101.4692
318,195301,2.307842000000001,104.37959999999997
319,195302,2.3393919999999997,104.30429999999998
320,195303,1.597892000000001,103.24779999999998
321,195304,-1.7319419999999994,101.52899999999998
322,195305,-2.2103260000000002,98.926
323,195306,1.0161089999999997,98.98349999999999
324,195307,-3.216196000000001,84.03479999999999
325,195308,-0.6799649999999993,85.80040000000001
326,195309,-7.219544,80.74650000000001
327,195310,-3.1109620000000002,80.19890000000001
328,195311,1.6273130000000016,83.81680000000001
329,195312,0.40763299999999786,85.26150000000001
330,195401,-3.4140800000000007,84.26889999999999
331,195402,4.676165,89.34890000000001
332,195403,-0.7232579999999997,90.11320000000002
333,195404,0.8799259999999997,92.65100000000002
334,195405,-0.4631910000000008,96.1965
335,195406,2.0976690000000007,99.28310000000002
336,195407,-0.8361859999999992,115.8495
337,195408,5.711284000000001,122.6629
338,195409,-2.0400739999999997,118.774
339,195410,3.5831769999999996,126.12209999999999
340,195411,-1.5524740000000006,124.5748
341,195412,7.992943000000001,135.9644
342,195501,8.129472999999999,144.9407
343,195502,0.4747489999999992,146.7563
344,195503,3.1775189999999998,150.43359999999998
345,195504,-0.879453999999999,150.5843
346,195505,1.4684330000000003,155.47830000000002
347,195506,-0.22220799999999957,155.38720000000004
348,195507,2.930071,156.75900000000004
349,195508,0.27266100000000065,158.8433
350,195509,-0.27018400000000065,158.98050000000003
351,195510,-1.9366360000000002,157.5427
352,195511,-2.9808349999999995,153.51139999999998
353,195512,4.746698,163.10920000000002
354,195601,0.9258280000000001,164.4643
355,195602,-3.113996,160.6095
356,195603,2.3489230000000005,165.5223
357,195604,3.6642300000000008,176.13349999999994
358,195605,-0.5321560000000003,177.89329999999998
359,195606,-5.226859999999999,167.00709999999998
360,195607,0.8130449999999992,171.13639999999998
361,195608,2.723986000000001,179.1196
362,195609,-2.960038999999999,172.8718
363,195610,-4.686045000000001,164.6407
364,195611,-0.7120409999999994,165.2584
365,195612,-0.41531899999999966,166.2563
366,195701,1.4966270000000004,171.00549999999998
367,195702,-1.1637840000000004,166.3391
368,195703,-3.4939080000000002,162.17290000000003
369,195704,1.0173660000000007,165.2106
370,195705,1.3823630000000002,171.2536
371,195706,1.1287270000000005,175.7688
372,195707,-1.8130669999999998,182.43529999999998
373,195708,0.5752830000000003,183.74469999999997
374,195709,-4.843784,174.87580000000003
375,195710,-5.537616000000002,164.2957
376,195711,-6.395777000000001,156.4942
377,195712,1.9861680000000002,157.90950000000004
378,195801,-4.717417000000001,150.7695
379,195802,10.671197000000001,160.02489999999997
380,195803,-1.3514810000000004,156.6078
381,195804,3.6235510000000004,160.86679999999998
382,195805,3.7392239999999997,165.8948
383,195806,4.051908999999999,169.5961
384,195807,3.2767499999999994,172.6149
385,195808,4.414272,180.57510000000002
386,195809,1.9756820000000002,183.2913000000001
387,195810,4.464488,192.1915
388,195811,2.6781790000000014,197.13960000000003
389,195812,3.8342810000000003,201.0566
390,195901,1.6321490000000023,210.25039999999998
391,195902,2.117165999999999,214.15430000000003
392,195903,0.7321189999999995,215.68210000000002
393,195904,-0.847698999999999,215.86329999999998
394,195905,0.8863350000000001,223.23319999999995
395,195906,-0.983322,226.89460000000003
396,195907,-0.9947629999999996,229.05990000000006
397,195908,1.0425260000000003,235.48500000000004
398,195909,-3.249377,231.9995
399,195910,-6.455592,220.9601
400,195911,0.08819400000000004,223.64649999999997
401,195912,-0.9829439999999998,224.05169999999998
402,196001,0.4312770000000004,230.26610000000005
403,196002,-6.396482,216.0206
404,196003,-1.3724779999999996,216.99610000000007
405,196004,-4.812774,211.798
406,196005,-4.023204999999999,207.2075
407,196006,-0.13612600000000033,210.89710000000005
408,196007,0.417175,218.41940000000002
409,196008,-2.953203,214.52720000000002
410,196009,3.716555,220.4585
411,196010,-7.380237999999999,208.37350000000004
412,196011,-3.5050989999999995,207.48329999999999
413,196012,3.370596000000001,216.09570000000002
414,196101,2.730086999999998,226.7697
415,196102,7.418155999999999,243.254
416,196103,4.8100900000000015,251.2018
417,196104,4.3658459999999994,257.83209999999997
418,196105,-0.1679099999999994,260.19870000000003
419,196106,2.7526589999999995,264.7088
420,196107,-5.490785000000001,261.40309999999994
421,196108,-0.7966770000000009,268.3895
422,196109,-0.30432699999999985,272.63120000000004
423,196110,-5.031450999999999,265.2341
424,196111,0.28197800000000056,272.7292
425,196112,2.7505730000000006,283.1628999999999
426,196201,-2.6329450000000003,284.3907
427,196202,-2.414184999999999,278.2898
428,196203,-0.5698970000000001,283.2313
429,196204,-2.7966919999999984,280.0868
430,196205,-8.525628999999999,263.33919999999995
431,196206,-11.393344999999997,242.42730000000003
432,196207,-9.657903,229.25099999999998
433,196208,5.400472,241.55090000000004
434,196209,2.2730370000000004,245.66510000000002
435,196210,-7.323815999999999,233.48420000000002
436,196211,-3.2820709999999997,233.483
437,196212,12.166944,259.01890000000003
438,196301,-1.6365460000000007,261.9631
439,196302,6.769722000000001,275.63130000000007
440,196303,-2.6265079999999994,269.30050000000006
441,196304,1.230089,278.90450000000004
442,196305,2.9631160000000007,292.80469999999997
443,196306,2.0061370000000007,298.0215
444,196307,-2.2511890000000006,276.1306
445,196308,-0.929043,274.68570000000005
446,196309,5.014404,288.7017000000001
447,196310,-1.8335060000000005,283.3237
